$k$ (B/s),PoRs TPS2,PoRTs TPS2,HOPoRs TPS2,HOPoRTs TPS2,OP TPS2,OPT TPS2,HO TPS2,HOT TPS2
17800,90921115.00952382,127141285.50303027,126951601.22857144,179638490,179839030.6122449,291309504.13223135,472077455.35714287,1201651704.5454543
17900,92412572.07619049,129103680.56969695,128972791.04285716,182312395,182887085.4591837,296246849.1735537,480078599.3303572,1222018252.840909
18000,93914986.2857143,131080021.09090908,131008595.14285715,185004900,185969387.75510207,301239669.4214876,488169642.85714287,1242613636.3636363
18100,95428357.63809526,133070307.06666665,133059013.52857146,193821283.0909091,189086128.8265306,306288274.79338837,496351088.16964287,1263439133.5227273
18200,96952686.13333334,135074538.49696967,135124046.20000002,196957355.63636363,192237500,311392975.2066115,504623437.5,1284496022.7272727
18300,98487971.77142859,137092715.38181818,137203693.15714288,200127123.05454543,195423692.60204083,316554080.5785124,512987193.0803572,1305785582.3863635
18400,100034214.55238096,139124837.7212121,139297954.40000004,203330671.99999997,198644897.95918372,321771900.8264463,521442857.1428572,1327309090.9090908
18500,101591414.47619048,143638668.72727275,141406829.92857143,206568235.0909091,201901307.3979592,327046745.86776865,529990931.91964287,1349067826.7045455
18600,103159571.54285714,145913415.27272728,143530319.7428572,209839978.47272727,205193112.244898,332378925.61983466,538631919.6428572,1371063068.181818
18700,104738685.75238097,148212102.99999997,145668423.84285715,213142280.39999998,208520503.8265306,337768750,547366322.5446429,1393296093.75
18800,106328757.10476191,150534733.3333333,147821142.22857144,216468005.9636363,211883673.46938777,343216528.92561984,556194642.8571428,1415768181.8181818
18900,107929785.6,152881570.8,149988474.9,219816986.07272723,215282812.5,348722572.3140496,565117382.8125001,1438480610.7954543
19000,109541771.23809524,155252619.21212122,152170421.85714287,223189220.72727272,218718112.244898,354287190.08264464,574135044.6428572,1461434659.090909
19100,111164714.01904763,157648069.6545455,154366983.10000002,226584709.9272727,222189764.03061226,359910692.1487603,583248130.5803572,1484631605.1136363
19200,112798613.94285715,160068035.49090913,156578158.62857145,230003453.67272723,225697959.1836735,365593388.42975205,592457142.8571428,1508072727.272727
19300,114443471.00952382,162512597.0909091,158803948.44285718,233445451.96363634,229242889.03061226,371335588.8429752,601762583.7053572,1531759303.9772725
19400,116099285.21904764,164981979.69696972,161044352.54285714,236910704.79999998,232824744.89795923,377137603.3057852,611164955.3571429,1555692613.6363635
19500,117766056.57142858,167476175.45454547,163299370.92857143,240399212.18181816,236443718.1122449,382999741.7355372,620664760.0446428,1579873934.6590905
19600,119443785.06666668,169995449.35757574,165569003.60000002,243910974.1090909,240100000,388922314.0495868,630262500.0000001,1604304545.4545455
19700,121132470.70476192,172539810.19999996,167853250.55714288,247445990.58181813,243793781.88775507,394905630.1652893,639958677.4553572,1628985724.431818
19800,122832113.48571432,175109441.99999997,170152111.8,251004261.59999996,247525255.10204086,400950000,649753794.6428572,1653918750
19900,124542713.40952381,177704467.27272728,172465587.32857144,254585787.16363633,251294610.9693878,407055733.47107434,659648353.7946428,1679104900.5681818
20000,126264270.47619049,180324955.1515151,174793677.14285716,258190567.27272722,255102040.81632653,413223140.4958677,669642857.1428572,1704545454.5454543
20100,127996784.68571429,182971144.19999996,177136381.2428572,261818601.9272727,258947735.96938783,419452530.9917355,679737806.9196429,1730241690.340909
20200,129740256.03809527,185643016.9454546,179493699.62857145,265469891.1272727,262831887.75510204,425744214.876033,689933705.3571429,1756194886.3636363
20300,131494684.53333335,188340838.50909087,186627355.93333334,269144434.8727272,266754687.50000006,432098502.0661157,700231054.6875,1782406321.022727
20400,135274950,191064623.34545457,189326641.37142858,272842233.1636363,270716326.53061223,438515702.47933877,710630357.1428572,1808877272.7272725
